alarm_num,alarm_name,num_levels,measured_variable,limits_structure,comparison_type,alarm_variable,latched_variable,notes
0,Terminal Over Voltage,3,,rtos:hold:at_total_v_over,aggregate,sbmu:bits:summary_total_overvoltage,,voffset 32000
1,Terminal Under Voltage,3,,rtos:hold:at_total_v_under,aggregate,sbmu:bits:summary_total_undervoltage,,"note swap , check this voffset 32000"
2,Discharge Over Current,3,,rtos:hold:at_discharge_curr_over,aggregate,sbmu:bits:summary_overcurrent,,
3,FastCharge Over Current,3,,rtos:hold:at_fast_charge_curr_over,aggregate,rtos:bits:cell_temp_low,,
4,Insulation Low,3,,rtos:hold:at_insulation_resistance_under,greater_than,rtos:bits:cell_soc_low,,
10,Single Charge Over Temp,3,,rtos:hold:at_single_charge_temp_over,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
11,Single Charge Under Temp,3,,rtos:hold:at_single_charge_temp_under,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
12,Single Over Voltage,3,,rtos:hold:at_single_voltage_over,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
13,Single Under Voltage,3,,rtos:hold:at_single_voltage_under,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
14,Single Voltage Diff,3,,rtos:hold:at_single_voltage_diff,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
15,Single Temp Diff,3,,rtos:hold:at_single_temp_diff,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
16,SOC Low,3,,rtos:hold:at_single_soc_under,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
17,Terminal Over Temp,3,,rtos:hold:at_pole_temp_over,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
18,Module Over Voltage,3,,rtos:hold:at_mod_volt_over,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
19,Module Under Voltage,3,,rtos:hold:at_mod_volt_under,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
20,DI1 mcerror,1,,di_error,greater_or_equal,const:1,rtos:bits:cell_voltage_high_latch,some notes
21,DI2 mcerror,1,,di_error,greater_or_equal,const:1,rtos:bits:cell_voltage_high_latch,some notes
22,DI3 mcerror,1,,di_error,greater_or_equal,const:1,rtos:bits:cell_voltage_high_latch,some notes
23,Di4 mcerror,1,,di_error,greater_or_equal,const:1,rtos:bits:cell_voltage_high_latch,some notes
24,Di5 mcerror,1,,di_error,greater_or_equal,const:1,rtos:bits:cell_voltage_high_latch,some notes
25,Di6 mcerror,1,,di_error,greater_or_equal,const:1,rtos:bits:cell_voltage_high_latch,some notes
26,Di7 mcerror,1,,di_error,greater_or_equal,const:1,rtos:bits:cell_voltage_high_latch,some notes
27,"Di8 ,mcerror",1,,di_error,greater_or_equal,const:1,rtos:bits:cell_voltage_high_latch,some notes
28,Can0 Error,1,sbmu:input:Min_cell_temp,,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
29,Voltage Lost,1,sbmu:input:Min_cell_temp,,greater_than,rtos:bits:cell_voltage_low,rtos:bits:cell_voltage_high_latch,some notes
