alarm_num,alarm_name,level,enabled,duration,actions,notes
0,Terminal Over Voltage,1,1,0,,
0,Terminal Over Voltage,2,1,0,,
0,Terminal Over Voltage,3,1,0,,
1,Terminal Under Voltage,1,1,0,,
1,Terminal Under Voltage,2,1,0,,
1,Terminal Under Voltage,3,1,0,,
2,Discharge Over Current,1,1,0,,
2,Discharge Over Current,2,1,0,,
2,Discharge Over Current,3,1,0,,
3,FastCharge Over Current,1,1,0,,
3,FastCharge Over Current,2,1,0,,
3,FastCharge Over Current,3,1,0,,
4,Insulation Low,1,1,0,,
4,Insulation Low,2,1,0,,
4,Insulation Low,3,1,0,,
10,Single Charge Over Temp,1,1,0,,
10,Single Charge Over Temp,2,1,0,,
10,Single Charge Over Temp,3,1,0,,
11,Single Charge Under Temp,1,1,0,,
11,Single Charge Under Temp,2,1,0,,
11,Single Charge Under Temp,3,1,0,,
12,Single Over Voltage,1,1,0,,
12,Single Over Voltage,2,1,0,,
12,Single Over Voltage,3,1,0,,
13,Single Under Voltage,1,1,0,,
13,Single Under Voltage,2,1,0,,
13,Single Under Voltage,3,1,0,,
14,Single Voltage Diff,1,1,0,,
14,Single Voltage Diff,2,1,0,,
14,Single Voltage Diff,3,1,0,,
15,Single Temp Diff,1,1,0,,
15,Single Temp Diff,2,1,0,,
15,Single Temp Diff,3,1,0,,
16,SOC Low,1,1,0,,
16,SOC Low,2,1,0,,
16,SOC Low,3,1,0,,
17,Terminal Over Temp,1,1,0,,
17,Terminal Over Temp,2,1,0,,
17,Terminal Over Temp,3,1,0,,
18,Module Over Voltage,1,1,0,,
18,Module Over Voltage,2,1,0,,
18,Module Over Voltage,3,1,0,,
19,Module Under Voltage,1,1,0,,
19,Module Under Voltage,2,1,0,,
19,Module Under Voltage,3,1,0,,
20,DI1 mcerror,1,1,0,,
20,DI1 mcerror,2,1,0,,
20,DI1 mcerror,3,1,0,,
21,DI2 mcerror,1,1,0,,
21,DI2 mcerror,2,1,0,,
21,DI2 mcerror,3,1,0,,
22,DI3 mcerror,1,1,0,,
22,DI3 mcerror,2,1,0,,
22,DI3 mcerror,3,1,0,,
23,Di4 mcerror,1,1,0,,
23,Di4 mcerror,2,1,0,,
23,Di4 mcerror,3,1,0,,
24,Di5 mcerror,1,1,0,,
24,Di5 mcerror,2,1,0,,
24,Di5 mcerror,3,1,0,,
25,Di6 mcerror,1,1,0,,
26,Di7 mcerror,1,1,0,,
27,"Di8 ,mcerror",1,1,0,,
28,Can0 Error,1,1,0,,
29,Voltage Lost,1,1,0,,
30,Temp Lost,1,1,0,,
31,bg system alarm error,1,1,0,,
32,Group Volt Diff,1,1,0,,
33,Jump Instruction,1,1,0,,
34,Battery Extreme Error,1,1,0,,
35,Project Version Diff,1,1,0,,
37,PCS comms Lost,1,1,0,,
40,PCS debug Mode,1,1,0,,
41,Can Hall Sensor Comm Lost,1,1,0,,
42,PCB Check error,1,1,0,,
43,SVOL Harness Error,1,1,0,,
44,EQ Error,1,1,0,,
45,Ems Comms Error,1,1,0,,
46,Bms Comms Error,1,1,0,,
47,Single Discharge Over Temp,1,1,0,,
47,Single Discharge Over Temp,2,1,0,,
47,Single Discharge Over Temp,3,1,0,,
48,Single Discharge Low Temp,1,1,0,,
48,Single Discharge Low Temp,2,1,0,,
48,Single Discharge Low Temp,3,1,0,,
49,SOC Over,1,1,0,,
49,SOC Over,2,1,0,,
49,SOC Over,3,1,0,,
50,Bmm Charge Vo D Valuel,1,1,0,,
50,Bmm Charge Vo D Valuel,2,1,0,,
50,Bmm Charge Vo D Valuel,3,1,0,,
51,Cell discharge temp D Value,1,1,0,,
51,Cell discharge temp D Value,2,1,0,,
51,Cell discharge temp D Value,3,1,0,,
52,Cell charge temp D Value,1,1,0,,
52,Cell charge temp D Value,2,1,0,,
52,Cell charge temp D Value,3,1,0,,
53,Bmm Discharge Vol D Value,1,1,0,,
53,Bmm Discharge Vol D Value,2,1,0,,
53,Bmm Discharge Vol D Value,3,1,0,,
54,Cluster Circulation Warning,1,1,0,,
55,HV Sample Volt Diff,1,1,0,,
56,Cell Charge Vol,1,1,0,,
57,Cell Discharge Vol,1,1,0,,
58,Module Charge Vol,1,1,0,,
59,Module Discharge Vol,1,1,0,,
60,Module Vol D Charge,1,1,0,,
61,Module Vol D Discharge,1,1,0,,
62,Cluster Charge Vol,1,1,0,,
63,Cluster Discharge Vol,1,1,0,,
64,Cluster Charge Cell Range Vol,1,1,0,,
65,Cluster Discharge Cell Range Vol,1,1,0,,
66,Cluster Charge Module Range Vol,1,1,0,,
67,Cluster Disharge Module Range Vol,1,1,0,,
68,Cluster Charge Current,1,1,0,,
69,Cluster Discharge Current,1,1,0,,
70,Cutoff Cell High Temp,1,1,0,,
71,Cutoff Cell Low Temp,1,1,0,,
72,Cutoff Cluster Charge Cell Temp D,1,1,0,,
73,Cutoff Cluster Discharge Cell Temp D,1,1,0,,
74,Bmm Lost Status,1,1,0,,
74,Bmm Lost Status,2,1,0,,
74,Bmm Lost Status,3,1,0,,
74,Bmm Lost Status,4,1,0,,
74,Bmm Lost Status,5,1,0,,
74,Bmm Lost Status,6,1,0,,
74,Bmm Lost Status,7,1,0,,
74,Bmm Lost Status,8,1,0,,
74,Bmm Lost Status,9,1,0,,
74,Bmm Lost Status,10,1,0,,
74,Bmm Lost Status,11,1,0,,
74,Bmm Lost Status,12,1,0,,
74,Bmm Lost Status,13,1,0,,
74,Bmm Lost Status,14,1,0,,
74,Bmm Lost Status,15,1,0,,
74,Bmm Lost Status,16,1,0,,
74,Bmm Lost Status,17,1,0,,
74,Bmm Lost Status,18,1,0,,
74,Bmm Lost Status,19,1,0,,
74,Bmm Lost Status,20,1,0,,
74,Bmm Lost Status,21,1,0,,
74,Bmm Lost Status,22,1,0,,
74,Bmm Lost Status,23,1,0,,
74,Bmm Lost Status,24,1,0,,
74,Bmm Lost Status,25,1,0,,
74,Bmm Lost Status,26,1,0,,
74,Bmm Lost Status,27,1,0,,
74,Bmm Lost Status,28,1,0,,
74,Bmm Lost Status,29,1,0,,
74,Bmm Lost Status,30,1,0,,
74,Bmm Lost Status,31,1,0,,
74,Bmm Lost Status,32,1,0,,
74,Bmm Lost Status,33,1,0,,
74,Bmm Lost Status,34,1,0,,
74,Bmm Lost Status,35,1,0,,
74,Bmm Lost Status,36,1,0,,
74,Bmm Lost Status,37,1,0,,
74,Bmm Lost Status,38,1,0,,
74,Bmm Lost Status,39,1,0,,
74,Bmm Lost Status,40,1,0,,
74,Bmm Lost Status,41,1,0,,
74,Bmm Lost Status,42,1,0,,
74,Bmm Lost Status,43,1,0,,
74,Bmm Lost Status,44,1,0,,
74,Bmm Lost Status,45,1,0,,
74,Bmm Lost Status,46,1,0,,
74,Bmm Lost Status,47,1,0,,
74,Bmm Lost Status,48,1,0,,
74,Bmm Lost Status,49,1,0,,
74,Bmm Lost Status,50,1,0,,
74,Bmm Lost Status,51,1,0,,
74,Bmm Lost Status,52,1,0,,
74,Bmm Lost Status,53,1,0,,
74,Bmm Lost Status,54,1,0,,
74,Bmm Lost Status,55,1,0,,
74,Bmm Lost Status,56,1,0,,
74,Bmm Lost Status,57,1,0,,
74,Bmm Lost Status,58,1,0,,
74,Bmm Lost Status,59,1,0,,
74,Bmm Lost Status,60,1,0,,
75,End of rtos:bits,1,1,0,,
76,Module over-voltage,1,1,0,,
77,Module under-voltage,1,1,0,,
78,DI1 fault,1,1,0,,
79,DI2 fault,1,1,0,,
80,DI3 fault,1,1,0,,
81,DI4 fault,1,1,0,,
82,DI5 fault,1,1,0,,
83,DI6 fault,1,1,0,,
84,DI7 fault,1,1,0,,
85,DI8 fault,1,1,0,,
86,DI9 fault,1,1,0,,
87,DI10 fault,1,1,0,,
88,DI11 fault,1,1,0,,
89,DI12 fault,1,1,0,,
90,Internal CAN communication disconnection,1,1,0,,
91,Cell voltage DAQ abnormal,1,1,0,,
92,Cell temperature DAQ abnormal,1,1,0,,
93,SBMS detection fault,1,1,0,,
94,Rack voltage-difference high,1,1,0,,
95,Rack trip fault,1,1,0,,
96,Battery limit fault,1,1,0,,
97,Project software version inconsistent,1,1,0,,
98,PCS communication fault,1,1,0,,
99,PC forced control mode,1,1,0,,
100,CAN Hall sensor fault,1,1,0,,
101,CAN Hall sensor communication fault,1,1,0,,
102,Hardware self-inspect abnormal,1,1,0,,
103,Power supply under-voltage,1,1,0,,
104,Power supply over-voltage,1,1,0,,
105,Module over-temperature,1,1,0,,
106,Pack terminal under-voltage,1,1,0,,
107,Pack terminal over-voltage,1,1,0,,
108,Fast charge over-current,1,1,0,,
109,Pole over-temperature,1,1,0,,
110,Feed over-current,1,1,0,,
111,Discharge over-current,1,1,0,,
112,Isolation low,1,1,0,,
113,LOW SOC,1,1,0,,
114,HIGH SOC,1,1,0,,
115,Cell over-voltage,1,1,0,,
116,Cell under-voltage,1,1,0,,
117,Cell voltage-difference high,1,1,0,,
118,Charge over-temperature,1,1,0,,
119,Charge under-temperature,1,1,0,,
120,Discharge over-temperature,1,1,0,,
121,Discharge under-temperature,1,1,0,,
122,Cell temperature-difference high,1,1,0,,
123,SOC DIFFERENCE HIGH,1,1,0,,
124,Temperature rise fast,1,1,0,,
125,Module over-voltage,1,1,0,,
126,Module under-voltage,1,1,0,,
127,EVBCM communication disconnection,1,1,0,,
128,PCS communication disconnection,1,1,0,,
129,Power supply under-voltage,1,1,0,,
130,Power supply over-voltage,1,1,0,,
