alarm_num,alarm_name,level,enabled,duration,actions,notes
0,Cell Voltage Too Low,1,1,3.0,,
0,Cell Voltage Too Low,2,1,3.0,,
0,Cell Voltage Too Low,3,1,5.0,,
1,Cell Voltage Too High,1,1,10.0,,
2,Cell Temp Too High,1,1,12.0,,
2,Cell Temp Too High,2,1,24.0,,
2,Cell Temp Too High,3,1,35.0,,
3,Cell Temp Too Low,1,1,0,,
3,Cell Temp Too Low,2,1,0,,
3,Cell Temp Too Low,3,1,0,,
4,Cell SOC Too Low,1,1,0,,
4,Cell SOC Too Low,2,1,0,,
4,Cell SOC Too Low,3,1,0,,
5,Cell Voltage Too Low2,1,1,0,,
5,Cell Voltage Too Low2,2,1,0,,
5,Cell Voltage Too Low2,3,1,0,,
6,Cell Voltage Too Low2,1,1,0,,
6,Cell Voltage Too Low2,2,1,0,,
6,Cell Voltage Too Low2,3,1,0,,
10,Cell Voltage Too Low3,1,1,0,,
10,Cell Voltage Too Low3,2,1,0,,
10,Cell Voltage Too Low3,3,1,0,,
11,Rack terminal under-voltage,1,1,0,,
11,Rack terminal under-voltage,2,1,0,,
11,Rack terminal under-voltage,3,1,0,,
12,Rack terminal discharge over-current,1,1,0,,
12,Rack terminal discharge over-current,2,1,0,,
12,Rack terminal discharge over-current,3,1,0,,
13,Rack terminal charge over-current,1,1,0,,
13,Rack terminal charge over-current,2,1,0,,
13,Rack terminal charge over-current,3,1,0,,
14,Rack terminal isolation,1,1,0,,
14,Rack terminal isolation,2,1,0,,
14,Rack terminal isolation,3,1,0,,
15,Cell charge over-temperature,1,1,0,,
15,Cell charge over-temperature,2,1,0,,
15,Cell charge over-temperature,3,1,0,,
16,Cell charge under-temperature,1,1,0,,
16,Cell charge under-temperature,2,1,0,,
16,Cell charge under-temperature,3,1,0,,
17,Cell over-voltage,1,1,0,,
17,Cell over-voltage,2,1,0,,
17,Cell over-voltage,3,1,0,,
18,"Cell under-voltage""",1,1,0,,
18,"Cell under-voltage""",2,1,0,,
18,"Cell under-voltage""",3,1,0,,
19,Cell high voltage-difference,1,1,0,,
19,Cell high voltage-difference,2,1,0,,
19,Cell high voltage-difference,3,1,0,,
20,Cell high temperature-difference,1,1,0,,
20,Cell high temperature-difference,2,1,0,,
20,Cell high temperature-difference,3,1,0,,
21,Low SOC,1,1,0,,
21,Low SOC,2,1,0,,
21,Low SOC,3,1,0,,
22,Dynamic terminal over-temperature,1,1,0,,
22,Dynamic terminal over-temperature,2,1,0,,
22,Dynamic terminal over-temperature,3,1,0,,
23,Pack over-voltage,1,1,0,,
23,Pack over-voltage,2,1,0,,
23,Pack over-voltage,3,1,0,,
