limits_structure,alarm_name,level1_limit,level2_limit,level3_limit,hysteresis,last_updated,notes
di_error,DI1 mcerror,1.0,0,0,0,2025-12-15T21:32:53.855327,
rtos:hold:at_cell_soc_low,N/A,0,0,0,0,2025-12-15T21:32:53.855041,
rtos:hold:at_cell_temp_high,N/A,0,0,0,0,2025-12-15T21:32:53.854998,
rtos:hold:at_cell_temp_low,N/A,0,0,0,0,2025-12-15T21:32:53.855021,
rtos:hold:at_cell_voltage_high,N/A,0,0,0,0,2025-12-15T21:32:53.854932,
rtos:hold:at_discharge_curr_over,Discharge Over Current,0,0,0,0,2025-12-15T21:32:53.855094,
rtos:hold:at_fast_charge_curr_over,FastCharge Over Current,0,0,0,0,2025-12-15T21:32:53.855111,
rtos:hold:at_insulation_resistance_under,Insulation Low,0,0,0,0,2025-12-15T21:32:53.855129,
rtos:hold:at_mod_volt_over,Module Over Voltage,0,0,0,0,2025-12-15T21:32:53.855294,
rtos:hold:at_mod_volt_under,Module Under Voltage,0,0,0,0,2025-12-15T21:32:53.855310,
rtos:hold:at_pole_temp_over,Terminal Over Temp,0,0,0,0,2025-12-15T21:32:53.855277,
rtos:hold:at_pole_temp_over_offset,N/A,0,0,0,0,2025-12-15T21:32:53.855261,
rtos:hold:at_single_charge_temp_over,Single Charge Over Temp,0,0,0,0,2025-12-15T21:32:53.855146,
rtos:hold:at_single_charge_temp_under,Single Charge Under Temp,0,0,0,0,2025-12-15T21:32:53.855162,
rtos:hold:at_single_soc_under,SOC Low,0,0,0,0,2025-12-15T21:32:53.855244,
rtos:hold:at_single_temp_diff,Single Temp Diff,0,0,0,0,2025-12-15T21:32:53.855228,
rtos:hold:at_single_voltage_diff,Single Voltage Diff,0,0,0,0,2025-12-15T21:32:53.855211,
rtos:hold:at_single_voltage_over,Single Over Voltage,0,0,0,0,2025-12-15T21:32:53.855179,
rtos:hold:at_single_voltage_under,Single Under Voltage,0,0,0,0,2025-12-15T21:32:53.855195,
rtos:hold:at_total_v_over,Terminal Over Voltage,14768.0,15101.0,15392.0,416.0,2025-12-15T21:32:53.855059,
rtos:hold:at_total_v_under,Terminal Under Voltage,12272.0,10400.0,9984.0,416.0,2025-12-15T21:32:53.855077,
